,text,device,emotion
1751,winning winning gave away red mophie juice pack air's fan tigerblood dead iphone battery,,No emotion toward brand or product
1752,mayer 20 google search local information pr,,No emotion toward brand or product
1753,hashable american psycho woot new post business card dead send card via hashable,,No emotion toward brand or product
1754,evernote iphone awesome note photo taccsxsw,iPhone,Positive emotion
1755,disaster iphone died middle can't function heading apple store,iPhone,Negative emotion
1756,quadroid qualcomm android called platform next decade v wintel cloud,Android,Positive emotion
1757,every person holding iphone head take pic crowd would several dollar,,No emotion toward brand or product
1758,i'll pay 681 00 new unopened ipad 16gb 3g verizon black visit claim cash willpay,,No emotion toward brand or product
1759,i'll pay 900 new ipad white 32 gb 3g next 20 hour willpay zaarly,iPad,Positive emotion
1760,aapl put ipad pop store right badge pickup line convention center,,No emotion toward brand or product
1761,google 80's party maggie's hair makeup rockin,,No emotion toward brand or product
1762,google 40 map usage mobile seeing demo new version mobile map nice,Other Google product or service,Positive emotion
1763,head 605 chance win almost time enter win ipad emc booth exhibit hall,,No emotion toward brand or product
1764,ipad march 11 2011 59pm pst,iPad,Negative emotion
1765,2011 trend google twitter next angry bird,Google,Positive emotion
1766,2011 demo samsung tv controlled android phone,,No emotion toward brand or product
1767,2011 heywire launch group chat facebook google twitter,,No emotion toward brand or product
1768,2011 novelty ipad news apps fade fast among digital delegate,,No emotion toward brand or product
1769,2011 novelty ipad news apps fade fast among digital delegate,iPad or iPhone App,Negative emotion
1770,2011 novelty ipad news apps fade fast among digital delegate,iPad,Negative emotion
1771,2011 google bing smackdown bloody banality,Google,Negative emotion
1772,2011 google bing smackdown bloody banality,,Negative emotion
1773,2011 google bing smackdown bloody banality guardian,,No emotion toward brand or product
1774,even 10am austin iphone batt 54 shit notevenstartedyet,iPhone,Negative emotion
1775,google's 1986 themed party maggie mae's,,No emotion toward brand or product
1776,aos ipad giveaway picking steam mashable mashbash sxswi photo,,No emotion toward brand or product
1777,ipad giveaway close today need sign entered automatically pls rt,,No emotion toward brand or product
1778,ipad go sale next friday austin apple store going busy,iPad,Positive emotion
1779,heck sick apple supposedly setting mini store go i'm feeling 95 plan go,,No emotion toward brand or product
1780,ipad better product time make worthwhile improvement diller,iPad,Positive emotion
1782,ipad launch buzz 2011 apple tablet marketing advertising ipod,iPad,Positive emotion
1783,ipad launch really south austin inde mac ipad,iPad,Positive emotion
1784,ipad line,,No emotion toward brand or product
1785,ipad line 20 minute long,,No emotion toward brand or product
1786,ipad take video channel gadget news uncategorized,iPad,Positive emotion
1787,ipad take video one biggest event first day sxsw 2011 _,iPad,Positive emotion
1788,ipad take video,iPad,Positive emotion
1789,ipad take video,iPad,Positive emotion
1790,ipad take video,iPad,Positive emotion
1791,ipad take video via mashable,iPad,Positive emotion
1792,ipad take sxsw video apple ipad,iPad,Positive emotion
1793,ipad take sxsw video ipad2,iPad,Positive emotion
1794,get 20 free track music sampler track check,,No emotion toward brand or product
1795,download 20 free track music sampler including,,No emotion toward brand or product
1796,download 20 free track music sampler including glove,,No emotion toward brand or product
1797,download 20 free track music sampler including,,No emotion toward brand or product
1798,2011 new iphone app page what's missing see breakout,,No emotion toward brand or product
1799,stoked 22 free song itunes personal favorite barton hollow sundaymorning,,No emotion toward brand or product
1800,we're 2nd congress rewardswagon bookbook ipad case get fast,iPad,Positive emotion
1801,v groupon living social type reward battle begin,,No emotion toward brand or product
1802,google h4ckers audience 95 male devs smart easy there's free alcohol speakeasy,,No emotion toward brand or product
1803,new 4sq3 look like going rock update iphone android push tonight keepaustinweird,,Positive emotion
1804,i'd say 75 booth tradeshow waffling ipad portion rep dressed crazy character,,No emotion toward brand or product
1805,15slides gruber keep desk apple extended keyboard discontinued 1991 169 loud feel like writes better,,Positive emotion
1806,wjchat q7a i'm going iphone ipad bought zagg keyboard high hope plan work,iPhone,Positive emotion
1807,pretty neat database must say work android shall see party free,Android,Positive emotion
1808,mystery prize hope ipad thanks great panel gift discotalk,iPad,Positive emotion
1809,15k high quality pdf ipad app good investment small mag say chris tomlinson formerly texas ob ap,iPad or iPhone App,Positive emotion
1810,setup demo restaurant page sign download iphone app check say hi,iPad or iPhone App,Positive emotion
1811,got back door invite google party goona network as,Google,Positive emotion
1812,great idea behind circle google launching secret new social network called circle,Google,Positive emotion
1813,3rd time charm privacy google launch new social network circle maybe today,,Positive emotion
1814,building custom android home screen stuff must have,,No emotion toward brand or product
1815,got free iphone charger someone came gave one randomly love,iPhone,Positive emotion
1816,got free iphone charger alex powermatteam wow make life much easier thanks,iPhone,Positive emotion
1817,full service web app mac assume something like iphone app internet explorer,,No emotion toward brand or product
1818,enjoying google ice cream sandwich gsdm party edible wrapper welivehere gsdm,Google,Positive emotion
1819,great festival app featured app store work google map plan schedule free,iPad or iPhone App,Positive emotion
1820,watching guy simultaneously use laptop ipad force strong one mmm,iPad,Positive emotion
1821,saw guy tweeting ipad peeing,,No emotion toward brand or product
1822,hoax we're launching product we're plenty else,,No emotion toward brand or product
1823,beluga iphone app highlight excellent way coordinate relief effort,iPad or iPhone App,Positive emotion
1824,gettiing last minute visit i'd like think ipad,,No emotion toward brand or product
1825,line front secret apple ipad store congress ave long line sbux longer,,No emotion toward brand or product
1826,apple selfish brand microsoft served brand,Apple,Negative emotion
1827,got new ipad case check female alien,,No emotion toward brand or product
1828,go game new lb scavenger hunt launch service creates customized game event,,No emotion toward brand or product
1829,awww yeaaa new music time,,No emotion toward brand or product
1830,saw preview new ipad app awesome,iPad or iPhone App,Positive emotion
1831,watching promo google earth engine techie save world harnessing collective power good,Google,Positive emotion
1832,really bad person could stolen guy ipad saying,iPad,Positive emotion
1833,really great mophie experience user month highly recommend iphone battery goodcustomerservice,iPhone,Positive emotion
1834,rumor apple opening pop store downtown austin ipad launch,iPad,Positive emotion
1835,rumor apple opening popup store ipad2 launch,,No emotion toward brand or product
1836,rumor apple opening temporary store downtown austin ipad launch,,No emotion toward brand or product
1837,rumor apple opening temporary store downtown austin ipad launch rgv,,No emotion toward brand or product
1838,rumor apple opening temporary store downtown austin ipad launch,,No emotion toward brand or product
1839,rumor apple opening temporary store downtown austin ipad launch,,No emotion toward brand or product
1840,rumor apple opening temporary store downtown austin ipad launch,Apple,Positive emotion
1841,rumor apple opening temporary store downtown austin ipad launch,,No emotion toward brand or product
1842,rumor pop apple store exists they're still selling ipads,,No emotion toward brand or product
1843,lt rumor gt google launch major new social network called circle possibly today,,No emotion toward brand or product
1844,got shiny new ipad2 discover new music built html5 flash look great ipad,iPad,Positive emotion
1845,watching talk guy hired jony ive apple industrialdesign,,No emotion toward brand or product
1846,tech bro posed homeless person outside apple pop sign asking ipad,iPad,Positive emotion
1847,beta testing interactive book ipad app moonbot studio louisiana cool app,iPad or iPhone App,Positive emotion
1848,qa google bing website ranking fun,Google,Positive emotion
1849,qa google bing panel hilton salon 59 others,,No emotion toward brand or product
1850,wearing missoni top,,No emotion toward brand or product
1851,learning ab google doodle doodle light funny innovative exception significant occasion googledoodle,,No emotion toward brand or product
1852,available android gt gt absolute must apps rock interactive,Android App,Positive emotion
1853,free portable iphone charger i'm use heck,iPhone,Positive emotion
1854,saw hashable pushed update iphone app look ready use paperless biz card solution,iPad or iPhone App,Positive emotion
1855,quick enable bubble barrier paxeast apple store protect new nerdking,,No emotion toward brand or product
1856,sxsw quotables giving away ipad today need sign entered automatically,,No emotion toward brand or product
1857,probably best keep away apple pop store temptation get white 3g ipad insanely tempting,iPad,Positive emotion
1858,learning latest food related apps half people rm make apps gsdm check lovefresh coming soon iphone,iPad or iPhone App,Positive emotion
1859,pretty content nat geo pretty article ipad cooler twitter list current arctic explorer flipboard,iPad,Positive emotion
1860,thinking standing outside austin apple store 11 200 cash snatch ipad upgrading,,No emotion toward brand or product
1861,learning future search creepily social awesome,,No emotion toward brand or product
1862,talk mistake building netflix iphone app,,Negative emotion
1863,learning using html5 across multiple device looking freebeernear web android osx iphone hack5 donline,,No emotion toward brand or product
1864,keeping tab via awesome ipad app,,No emotion toward brand or product
1865,fucking mac user cwebb ipad grant hill,Apple,Negative emotion
1866,talking accessibility found google engineer iqlab,,No emotion toward brand or product
1867,google place hotpot personalized friend recommendation pulled facebook,,No emotion toward brand or product
1868,yikes reached new level apple fanboyism last night literally fell asleep macbook pro ipad iphone top,Apple,Positive emotion
1869,looking back tweet holy wow many typo ughhhhh autocorrect inability type ipad goo,,No emotion toward brand or product
1870,touch trackpads first iphone ipad positive natural sit mobile relaxed,iPhone,Positive emotion
1871,rackspace startup program cloud ipad app launched,,No emotion toward brand or product
1872,ipad wohooo tnx apple popup shop,iPad,Positive emotion
1873,2nd ipad wi fi sold used craigslist avoided pesky ebay fee thankgod,,No emotion toward brand or product
1874,win ipad bizgym video clipcon see intro reel suasxsw ceokidschat entrepreneur smallbiz,,No emotion toward brand or product
1875,got ipad gave red cross japan first day,iPad,Positive emotion
1876,win ipad sxsw,iPad,Positive emotion
1877,win ipad submit vote favorite quote,,No emotion toward brand or product
1878,ipad hand exquisite,iPad,Positive emotion
1879,video ipad line walk austin texas get one today,,No emotion toward brand or product
1880,ipad yet usa,,No emotion toward brand or product
1881,win ipad video clipcon see intro reel suasxsw entrepreneur smallbiz ceokidschat,iPad,Positive emotion
1882,download 20 free track music sampler available store today,,No emotion toward brand or product
1883,writer ipad app saved as flight bigger panel good job,iPad or iPhone App,Positive emotion
1884,dawn's ipad app week early help prep,iPad or iPhone App,Positive emotion
1885,win ipad sxsw,iPad,Positive emotion
1886,ipad case talking search research,,No emotion toward brand or product
1887,ipad design headache take two tablet call morning,iPad,Negative emotion
1888,double ipad dj full across sky tweethouse,,No emotion toward brand or product
1889,bad idea _ edchat musedchat classical newtwitter,,No emotion toward brand or product
1890,already first google circle search result cc,Other Google product or service,Positive emotion
1891,ipad available i'm austin major geekdilemma,iPad,Positive emotion
1892,tech ipad_2 get temporary apple_store apple setting temporary store austin technology,,No emotion toward brand or product
1893,win ipad2 signing wantlet,,No emotion toward brand or product
1894,ipad2 ipad well dry pop store,,No emotion toward brand or product
1895,ipad2 coming buy apple open store near sxsw ipad release,iPad,Positive emotion
1896,buying ipad2 turn ur ipad1 apple store wipe clean donates school mr job idea apple ipad2,Apple,Positive emotion
1897,beyondbroadcast evaporation business model platform iphone app make tool,,No emotion toward brand or product
1898,loaded groupme app iphone load brother,,No emotion toward brand or product
1899,monday's adfonic daily read iphone white release google social thing mobile,iPhone,Positive emotion
1900,lol gadgetzilla fun festival time omg i'm scared got netbook ipad droid,iPad,Positive emotion
1901,apple head sxsw set temporary store austin news,,No emotion toward brand or product
1902,gettin ready apple store,,No emotion toward brand or product
1903,never take fully charged iphone granted 24 pic edit tweet 4square apps zap lt good kno,,Positive emotion
1904,day still thinking skipping ipad lightnessofbeing,,No emotion toward brand or product
1905,snotty dbag actually android droid brand name there's difference die,,No emotion toward brand or product
1906,packing bag taking dell laptop sorry richard mercy bb torch iphone webmail suppose cheer,iPhone,Positive emotion
1907,best schwag i've seen battery charger iphone get one,iPhone,Positive emotion
1909,evidence nfc iphone checkins cc,,No emotion toward brand or product
1910,waiting eagerly google launch secret new social network called circle today gt gt new update,Other Google product or service,Positive emotion
1911,ahoy let reader know we'll keep em updated party eventseekr android iphone app way,,No emotion toward brand or product
1912,mission failure dried roast beef sandwich soggy tomato 25 oh well sat chevy lounge charged iphone power mat,,No emotion toward brand or product
1913,google brain apology randy ad popping search result algorithm skewed weekend randy query attendee,,Negative emotion
1914,google brain spent weekend answering search query attendee worry search google stay google,,No emotion toward brand or product
1915,hour wait makeshift apple store ipad fail,Apple,Negative emotion
1916,can't wait see big news google circle,,No emotion toward brand or product
1917,today waited line buy ipad pop store roamed austin hour without getting mugged superlucky,,No emotion toward brand or product
1918,want make film fun download filmaster app check screening get private recommendation,iPad or iPhone App,Positive emotion
1919,make spot tonight 11 30 flashmob kickball 6thstreet,,No emotion toward brand or product
1920,make sense limit content specific platform ipad web interview,iPad or iPhone App,Negative emotion
1921,biggest takeaway uxdes thus far bring physical world ipad design recreate already learned experience,,No emotion toward brand or product
1922,big takeaway interactive need iphone,iPhone,Positive emotion
1923,guy kawasaki believe god explanation continuous survival apple year lol,Apple,Negative emotion
1924,guy kawasaki ex apple evangelist talking eloquently art enchantment changing heart mind action,,No emotion toward brand or product
1925,google taking new product called hotpot review recommendation engine also social tool,,No emotion toward brand or product
1926,apple's taking old ipads teach america user get tax write buy new ipad kinda cool,Apple,Positive emotion
1927,essential apps beyond underwire socialmedia iphone android,iPad or iPhone App,Positive emotion
1928,essential business collaboration apps ipad bpm,,No emotion toward brand or product
1929,existential google mt contextual discovery demo history time search refine result,,No emotion toward brand or product
1930,informal unscientific observation apple far computer choice hand contest,Apple,Positive emotion
1931,haralambous iphone africa market,,No emotion toward brand or product
1932,samsung galaxy ii appears fcc team android party android phone android tablet news tech gad,,No emotion toward brand or product
1933,samsung galaxy ii appears fcc team android party,,No emotion toward brand or product
1934,alive loving great talk jonathan dahl minimalistprogramming google's marissa mayer marissagoogle,Google,Positive emotion
1935,sudden realization session news publisher question ipad design share idea via app store,,No emotion toward brand or product
1937,realized havnt used laptop since thursday pure iphone sprinkle ipad2 top apple,iPhone,Positive emotion
1938,groupme talk apple app store approval woe would big group people would agree whowillrise,Apple,Negative emotion
1939,apple love heard quite bit grumbling holding back feature ipad people would buy v2,Apple,Negative emotion
1940,android meetups austin i'm work well least p meetup,Android,Negative emotion
1941,server challenge huge hit come booth 400 try hand win iphone bottle opener case beating min,,No emotion toward brand or product
1942,google challenge facebook surprise announcement weekend inside scoop,,No emotion toward brand or product
1943,virtualwallet paypal get physical good cut apple get 30 software virtual good,,No emotion toward brand or product
1944,virtualwallet nfc iphone5 bc standardization android confusion,iPhone,Negative emotion
1945,allows volunteer ipad,,No emotion toward brand or product
1946,finally forced google can't people tweet better contextclues like jeopardy,,No emotion toward brand or product
1947,apple really need brand recognition prefer red delicious variety popupstores,,No emotion toward brand or product
1948,new socialnetwork google facebook twitter,,No emotion toward brand or product
1949,alright ipad line time line reasonable block block block,,No emotion toward brand or product
1950,also check android web group chat whiteboarding location image sharing app,,No emotion toward brand or product
1951,i'm also gonna google finally know mean seeing pas twitter enough time gotta find,,No emotion toward brand or product
1952,also iphone use site check,,No emotion toward brand or product
1953,health2dev zeiger health moving much slower could google,,No emotion toward brand or product
1954,monthly value user io 50 android 20 utility apps valuable,,Positive emotion
1955,dl calyp app get calyp casa free mobile app available itunes app store android market see,,No emotion toward brand or product
1956,dl calyp app today avail itunes app store android market calyp look u,Android App,Positive emotion
1957,dl calyp app today avail itunes app store android market special perk endorser calyp casa,,No emotion toward brand or product
1958,google analytics track offsite link virtual page view using javascript moreknowledge mitharvard,Other Google product or service,Positive emotion
1959,google analytics rock view512,Other Google product or service,Positive emotion
1960,google team panel say agency attitude think agileagency,,No emotion toward brand or product
1962,holler gram ipad itunes app store,,Positive emotion
1963,holler gram ipad itunes app store great app madebymany free,iPad or iPhone App,Positive emotion
1964,umshini wam night fishing weird shit said work well together liked esp iphone footage,iPhone,Positive emotion
1965,could game improve ecodriving habit 35 million mile day driven google map navigation,,No emotion toward brand or product
1966,style brother pop ups,,No emotion toward brand or product
1967,marissa google crew recommend amy's ice cream austin,,No emotion toward brand or product
1968,watching year old report via iphone show technology going anywhere robot revolt,iPhone,Positive emotion
1969,actually use qa site hipster re sxsw co iphone online,,No emotion toward brand or product
1970,built app map driving direction polling place google map pr,,No emotion toward brand or product
1971,art advertising statistic say google admob guy asked question sxflip,,No emotion toward brand or product
1972,awesome ipad lounge experience complete,iPad,Positive emotion
1973,vegan guide google map austin tx based lazy smurf's info,Other Google product or service,Positive emotion
1974,ipad rear facing camera get,iPad,Negative emotion
1975,i'll use ipad someone give otherwise iphone actually task,iPhone,Positive emotion
1977,ipad thanks fxsw,iPad,Positive emotion
1978,got ipad courtesy random stranger street apple investor thank utter,iPad,Positive emotion
1979,ipad cheaper laptop newsapps,iPad,Positive emotion
1980,iphone app people use scheduling awesome app flummoxed,iPad or iPhone App,Positive emotion
1981,saw iphone periscope move 2nd camera gowalla talk snoring guy busted documented get cpap homie,,No emotion toward brand or product
1982,want chance win ipad visit aquent booth 1413,,No emotion toward brand or product
1983,industry party gsdm 64 others,,No emotion toward brand or product
1984,open 64gb 3g ipad unboxing first look ipad2 ipad apple,,No emotion toward brand or product
1985,saying hi new iphone case zazzlesxsw,,Positive emotion
1986,shooting video p pic ipad,iPad,Positive emotion
1987,computer droid agnerd confession using laptop ipad blackberry follow afar see agchat,,No emotion toward brand or product
1988,10 time better luck verizon air card att iphone,,No emotion toward brand or product
1989,south drive baby adventure ipad fb,,No emotion toward brand or product
1990,oh sure arrive till tomorrow google set launch new social network circle today,,No emotion toward brand or product
1991,tech interaction event ipad apps right,,No emotion toward brand or product
1992,need get ipad right away apple opening pop store west 6th congress,,No emotion toward brand or product
1993,check offer google cool,Google,Positive emotion
1994,want win ipad get case,,No emotion toward brand or product
1995,standing talented eww lol saw guy tweeting ipad peeing,,No emotion toward brand or product
1996,android dev,,No emotion toward brand or product
1997,complete android guide print sale bookstore today 15 include 99 cent upgrade ready ebook signing 30,,No emotion toward brand or product
1998,android got big call gamelayer opening keynote knew appreciate,Android,Positive emotion
1999,android need way group apps like ipad ipod hhrs,Android,Negative emotion
2000,building android io application we've got tool ballroom 11 00,,No emotion toward brand or product
2001,ipad2 v android v world title like near hockey fan esque desire fight break gsdm platform,,No emotion toward brand or product
2002,awesome hand review ipad coming tomorrow guest post he's,iPad,Positive emotion
2003,woke sandwiched iphone ipad forgot much like geek spring break,,No emotion toward brand or product
2004,paywall panel daniel bernard wsj app game purchase frictionless like apple new free,,No emotion toward brand or product
2005,lonelyplanet austin iphone app free godsend gps aware map city without need 3g wifi,iPad or iPhone App,Positive emotion
2006,lonely planet austin guide iphone free download limited period,,No emotion toward brand or product
2007,lonely planet made austin guide free grab never know need,,No emotion toward brand or product
2008,lonely planet release free austin city guide iphone app like enough apps cluttering handset,iPad or iPhone App,Negative emotion
2009,lonely planet's free guide austin iphone,,No emotion toward brand or product
2010,lonely planet's new iphone austin city guide free march 15 going travel,iPad or iPhone App,Positive emotion
2011,game mechanic talk google sxsw packed there's long line still waiting get,,No emotion toward brand or product
2012,spontaniety life replaced technology iphone battery dy go home great busy,iPhone,No emotion toward brand or product
2013,day bank america launched iphone app got 250k new customer bankinnovation,iPad or iPhone App,Positive emotion
2014,huge thank nice person found iphone blue white stripe 4th floor conventioncenter brought back,,No emotion toward brand or product
2015,thanks ever present iphone barging table,,Positive emotion
2016,announces windowsphone app today wp7,,No emotion toward brand or product
2017,another google social failure,Google,Negative emotion
2018,google plan bring power life future linking digital physical world,,Positive emotion
2019,google plan launch major new social network called circle possibly today,,No emotion toward brand or product
2020,austinl fan head 1pm cst today win vip access acoustic solo set tonight,,No emotion toward brand or product
2021,mom want ipad back thingsthatdontgotogether lisa rinna,iPad,Positive emotion
2022,want lose love google,Google,Positive emotion
2023,brilliant rosso used google doc paste recipe make mother think generated recipe leanstartup,Other Google product or service,Positive emotion
2024,hello gigantic line outside google bing seo session,,No emotion toward brand or product
2025,company company best supply chain walmart apple behance,Apple,Positive emotion
2026,idea time apple store close tonight,,No emotion toward brand or product
2027,way deleting app stop loading iphone draining power cancel help,iPad or iPhone App,Negative emotion
2028,fast company google apple ea game zynga facebook microsoft intuit went gaga go game,,No emotion toward brand or product
2029,anyone product one thing ipad droid iphone ultimately work diller,,No emotion toward brand or product
2030,great recap seemingly great session relive wonder google bing panel,Google,Positive emotion
2031,great recap google bing session website ranking qagb cc,Google,Positive emotion
2032,ipad graphic much faster ipad motorola xoom tech,iPad,Positive emotion
2033,evaporation business model platform iphone app make tool available developer,iPad or iPhone App,Positive emotion
2034,android app bizzy challenge u check,,No emotion toward brand or product
2035,android app review go pls,,No emotion toward brand or product
2036,hope apple approves irelay social network mobile photo sharing app easier share people download,iPad or iPhone App,Positive emotion
2037,apple 99 marketshare seeing much linux,,No emotion toward brand or product
2038,major apple io update day genius project manager came brilliant idea nowhammies,Apple,Negative emotion
2039,apple great turning new old,Apple,Positive emotion
2040,sweet apple listened u temp apple store near ipad2 launch,Apple,Positive emotion
2041,apple pop store block long betterthingstodo,Apple,Negative emotion
2042,apple pop store still ipads,iPad,Positive emotion
2043,love apple pop store freaking smart one question att bring truck signal please say yes,Apple,Positive emotion
2044,queue apple pop store still long,,Negative emotion
2045,sxsw apple school marketing expert cnet,Apple,Positive emotion
2046,sxsw apple school marketing expert,Apple,Positive emotion
2047,sxsw apple school marketing expert apple,Apple,Positive emotion
2048,sxsw apple school marketing expert apple jobsco,Apple,Positive emotion
2049,sxsw apple school marketing expert essdub,,No emotion toward brand or product
2050,sxsw apple school marketing expert,,No emotion toward brand or product
2051,sxsw apple school marketing expert apple marketing,Apple,Positive emotion
2052,clever apple set open popup shop core action,Apple,Positive emotion
2053,watched apple staff temp store high five entire long line facepalmed ugh,,No emotion toward brand or product
2054,apple store nyc one day,,No emotion toward brand or product
2055,temp apple store great move really need help brand recognition seriousness pretty cool,Apple,Positive emotion
2056,well apple store website say ipads available pm friday wonder affect,,No emotion toward brand or product
2057,apple open pop store downtown austin 6th congress ipad launch,,No emotion toward brand or product
2058,come apple cant spell checking without auto correct must nothing grrr,Apple,Negative emotion
2059,line apple's ipad popup store already wrapping around block,,Positive emotion
2060,apple's making temp store 2011 get ipad,iPad,Positive emotion
2061,new ipad apps speech therapy communication showcased conference,,No emotion toward brand or product
2062,new ipad apps speech therapy communication showcased,,No emotion toward brand or product
2063,new ipad apps speech therapy communication showcased conference sxsh hcsm slp,,No emotion toward brand or product
2064,new ipad apps speech therapy communication showcased conference cc,,No emotion toward brand or product
2065,first 19 apps download ipad,,No emotion toward brand or product
2066,apptastic android apps developer io iphone smartphones,,No emotion toward brand or product
2067,tapworthy check ipad design headache tablet call morning sxsw,,No emotion toward brand or product
2069,seen far pop apple store pillow fight mechanical bull girl wearing jetpacks,,No emotion toward brand or product
2070,150 mm usar google map ate mobile,,No emotion toward brand or product
2071,fear attendee pick ipad 2 apple's austin pop shop,iPad,Positive emotion
2072,bettersearch google weight hotpot review heavier review site collecting data local search result,,No emotion toward brand or product
2073,bettersearch google hotpot look like streamlined yelp depth though wondering game theory built,,No emotion toward brand or product
2074,search sxsw via twitter work check google's real time search least get result,Other Google product or service,Positive emotion
2075,20 search google local search,,No emotion toward brand or product
2076,another hard call morning designing ipad reading writing genetic code going latter,,No emotion toward brand or product
2077,police guard ipad 2's apple store ipad,,No emotion toward brand or product
2078,heard ipads sold except apple pop store true,,No emotion toward brand or product
2079,share share share posterous join pile posterous event iphone socmedia,,Positive emotion
2080,checkins fun need extend beyond fun make checkins useful google,,No emotion toward brand or product
2081,startup talking captive audience apple store line smart idea,,No emotion toward brand or product
2082,around need u sim iphone 3gs next 10 wanna bring one please,,No emotion toward brand or product
2083,watching afar help noticing buzz generated shirt arduino android,,No emotion toward brand or product
2084,texas apple,,No emotion toward brand or product
2085,really coming team android party,,No emotion toward brand or product
2086,tried square credit card reader iphone android amazingly simple impressed,iPad or iPhone App,Positive emotion
2087,arg load iphone via app store site trying feelin touch,iPhone,Negative emotion
2088,charge iphone every 6hours running lowest possible screen brightness apple fix basic,iPhone,Negative emotion
2089,iphone charging,,No emotion toward brand or product
2090,iphone charging party hallway ux ia professional unite,iPhone,Positive emotion
2091,gearing interactive trade show across google,,No emotion toward brand or product
2092,iphone sharing shareable,,No emotion toward brand or product
2093,arrived early get prime seat presentation google's marissa mayer kek,,No emotion toward brand or product
2094,line around austin apple pop store unbelievable technology junky,,No emotion toward brand or product
2096,rachael harris that's saw driving nut thank google,Google,Positive emotion
2097,go bar get free drink iphone doesdroid,iPhone,Positive emotion
2098,thanks marshall jones head apple open temporary store 6th congress,,No emotion toward brand or product
2099,smart idea w00t wrote hollergram ipad app,iPad or iPhone App,Positive emotion
2100,google's art project put famous artwork billion pixel allowing zoom get entirely different view art,Google,Positive emotion
2101,google's art project would great virtual field trip kid museum around world edtech,Other Google product or service,Positive emotion
2102,good cnn article important social web innovator i'm bringing griddler ipad app,iPad or iPhone App,Positive emotion
2103,android party lustre pearl bar 63 others,,No emotion toward brand or product
2104,android party lustre pearl bar 19 others,,No emotion toward brand or product
2105,android party lustre pearl bar 36 others,Android,Positive emotion
2106,day party hangover time confused stumbling ipad interface new navigation structure bliss fb,,No emotion toward brand or product
2107,chimpit party plutopia google maybe movie start today,,No emotion toward brand or product
2108,i'm lazy feed listening band iphone i'm woefully unprepared music spreadsheet notwithstanding,,No emotion toward brand or product
2109,idea object robert burner hired ives apple,,No emotion toward brand or product
2110,oh texas social medium award need ask mother anymore google,,No emotion toward brand or product
2111,kawasaki say key enchantment likability trustworthiness product,,No emotion toward brand or product
2112,apple case study great mktg showed everyone buzz pop store,Apple,Positive emotion
2113,stevecase google launch major new social network called circle,,No emotion toward brand or product
2114,google quash circle rumour we're launching product we're plenty else,,No emotion toward brand or product
2115,flash discussion still relevant tapworthy ipad design headache,,Negative emotion
2117,got flask ipad yes i'm sitting 9th st waiting aicn screening prepared iloveasurprise,iPad,Positive emotion
2118,guy asked google's mayer take year remove deadly route google map death valley,Other Google product or service,Negative emotion
2119,like asserted corporate new indie well damn apple setting pop shop,,No emotion toward brand or product
2120,can't well nice free booby prize featured artist itunes free via,,No emotion toward brand or product
2121,cnngrill rockin iphone cooler,iPhone,Positive emotion
2122,also known hershel iphone autocorrect,,No emotion toward brand or product
2123,nyt wsj ask future branded native news apps ipad,iPad or iPhone App,Negative emotion
2124,10 attendee mac ipad,iPad,Positive emotion
2125,startup giving away free hosting fill chance win,,No emotion toward brand or product
2126,apple come cool technology one's ever heard go conference,Apple,Positive emotion
2127,apple come cool technology one's ever heard go conference,Apple,Positive emotion
2128,apple come cool technology one's ever heard go conference,Apple,Positive emotion
2129,google connect digital physical world mobile,Google,Positive emotion
2130,verb oh bump google facebook ping hashable fuck meet hire,,No emotion toward brand or product
2131,first send u pic get free download game android videogame smartphone,Android App,Positive emotion
2132,can't download free music mix itunes,,No emotion toward brand or product
2133,line 6th congress enter new apple store wrap around block,,No emotion toward brand or product
2134,shat tear good news austin bound apple fanboys ipad2,Apple,Positive emotion
2135,hear apple opening pop store downtown scarborough building sxsw ipad2 cool newapplestoreaustin,Apple,Positive emotion
2136,love apple smart enough popup store story map tip,Apple,Positive emotion
2137,count 48 pas charging station fool,,No emotion toward brand or product
2138,arriving google party small queue 1986 come wittingly group born,,No emotion toward brand or product
2139,80 band google aclu 1986 party rock,Google,Positive emotion
2140,hoping easier get ipad today since 50 target audience busy awesometiming,iPad,Positive emotion
2141,free heat map app 4sq check in see hot spot sxsw wp7 iphone wedig,,No emotion toward brand or product
2142,google heat map global search hotpot,,No emotion toward brand or product
2143,oh excuse apple come cool technology go conference,Apple,Positive emotion
2145,wonder percentage interactive participant iphone gotta high,iPhone,Positive emotion
2146,hungover sxsw use zaarly get gatorade advil billlee html iphone,,No emotion toward brand or product
2147,team android party walked dl appolicious app enter win free nexus androidsxsw,Android,Positive emotion
2148,geek interactive panel ipad holler gram app use ipad display message others,iPad,Positive emotion
2149,line apple popup store shorter line starbucks across street really choice _,,No emotion toward brand or product
2150,line pop apple store already around block hr b4 ipad2 go sale,,No emotion toward brand or product
2151,line apple store go around block oh that's right ipad also,iPad,Positive emotion
2152,band google party entertaining band ever seen,,Positive emotion
2153,blackout hotel true form showering light ipad,,No emotion toward brand or product
2154,line popup apple store phenomenal apple ipad2,Apple,Positive emotion
2155,standing top step right side coming onto patio come say what's android teamandroid,,No emotion toward brand or product
2156,wonder they'll sleeve google launch new social network called circle,,No emotion toward brand or product
2157,venturebeat second day business apple pop store appears trending vb,Apple,Positive emotion
2158,thats great official iphone ipad io meetup almost employer looking developer,,No emotion toward brand or product
